Date,Open,High,Low,Close,Adj Close,Volume,Change %
03/29/2021,1732.15,1733.34,1705.58,1711.99,1711.99,0,-1.15%
03/26/2021,1727.30,1737.01,1721.23,1731.97,1731.97,0,0.30%
03/25/2021,1735.65,1745.95,1721.84,1726.82,1726.82,0,-0.42%
03/24/2021,1727.80,1738.56,1723.85,1734.19,1734.19,0,0.41%
03/23/2021,1739.05,1742.85,1724.42,1727.11,1727.11,0,-0.67%
03/22/2021,1745.74,1747.18,1727.40,1738.69,1738.69,0,-0.35%
03/19/2021,1735.90,1746.88,1728.04,1744.74,1744.74,0,0.48%
03/18/2021,1745.09,1755.59,1719.05,1736.41,1736.41,0,-0.46%
03/17/2021,1730.61,1751.81,1724.14,1744.44,1744.44,0,0.78%
03/16/2021,1730.57,1741.40,1725.80,1730.94,1730.94,0,-0.05%
03/15/2021,1727.74,1734.99,1721.31,1731.84,1731.84,0,0.31%
03/12/2021,1721.59,1728.42,1698.85,1726.41,1726.41,0,0.29%
03/11/2021,1726.55,1739.99,1719.38,1721.41,1721.41,0,-0.27%
03/10/2021,1715.94,1726.76,1707.99,1726.05,1726.05,0,0.62%
03/09/2021,1682.55,1720.83,1679.80,1715.36,1715.36,0,2.03%
03/08/2021,1702.80,1714.45,1676.70,1681.24,1681.24,0,-1.15%
03/05/2021,1698.59,1707.76,1687.12,1700.86,1700.86,0,0.22%
03/04/2021,1711.84,1723.34,1690.64,1697.19,1697.19,0,-0.80%
03/03/2021,1738.59,1740.85,1701.94,1710.95,1710.95,0,-1.56%
03/02/2021,1724.10,1738.89,1707.18,1738.09,1738.09,0,0.83%
03/01/2021,1733.40,1760.02,1719.52,1723.84,1723.84,0,-0.56%
02/26/2021,1770.49,1776.10,1717.26,1733.49,1733.49,0,-2.06%
02/25/2021,1804.80,1806.06,1765.44,1769.88,1769.88,0,-1.91%
02/24/2021,1805.34,1813.99,1783.30,1804.36,1804.36,0,-0.04%
02/23/2021,1809.09,1816.27,1795.78,1805.06,1805.06,0,-0.20%
02/22/2021,1782.24,1812.76,1780.46,1808.66,1808.66,0,1.48%
02/19/2021,1776.19,1791.70,1760.13,1782.31,1782.31,0,0.38%
02/18/2021,1776.69,1789.88,1767.98,1775.49,1775.49,0,-0.04%
